Cycle	Avg bright	Stdev bright	Avg dark	Stdev dark	Avg dark-corrected intensity	Error dark-corrected
0	1133.9215909090908	50.34458823086822	1100.5310606060607	48.079800509745596	33.39053030303012	69.61497526533071
1	1119.8102272727272	48.573296394990734	1092.5958333333333	44.9570576004862	27.214393939393858	66.18536205815492
2	1117.5867424242424	49.41440462904259	1086.7318181818182	45.33449806577804	30.854924242424204	67.05967566070373
3	1122.1886363636363	49.6887740320403	1080.316287878788	44.3431390085236	41.87234848484832	66.59795974304626
4	1130.0765151515152	50.568842005678015	1072.8	44.381807629758036	57.27651515151524	67.2826324565268
5	1136.3742424242423	49.312555444086236	1068.5875	43.89745189807649	67.78674242424222	66.02056049118349
6	1143.3045454545454	49.677456419472	1064.0685606060606	45.31696698161731	79.2359848484848	67.24193016802488
7	1147.5977272727273	50.988838597298695	1058.8113636363637	43.44148824765099	88.7863636363636	66.98525630817707
8	1151.832196969697	51.23250870495829	1054.8287878787878	43.455474478679044	97.00340909090914	67.17996881787572
9	1154.7359848484848	49.999276439610796	1050.7117424242424	43.58832740950147	104.0242424242424	66.33151536669817
10	1154.9359848484848	51.48492785271987	1047.793181818182	42.20408154393296	107.14280303030296	66.57238387624942
11	1156.9454545454546	50.86999229115804	1043.8685606060606	43.005291211321534	113.07689393939404	66.61239515190132
12	1158.260984848485	50.507474624747054	1041.4041666666667	41.708756411894704	116.8568181818182	65.502865238066
13	1159.6689393939394	51.417787619885004	1038.5	43.17964587837443	121.16893939393935	67.14365719787251
14	1156.632196969697	52.10968859217376	1036.5113636363637	42.478174694932726	120.12083333333317	67.22956916853288
15	1155.792803030303	51.71952939587617	1033.7026515151515	42.00244212524576	122.09015151515155	66.62668283364795
16	1154.9113636363636	52.495761946874524	1029.8886363636364	42.178432568056294	125.02272727272725	67.34111074433649
17	1156.292803030303	51.38060838390878	1029.8102272727272	41.954655915388585	126.48257575757589	66.33370237578518
18	1153.9727272727273	50.597857618601665	1025.6352272727272	42.82424318646859	128.3375000000001	66.28769870862986
19	1154.1556818181818	51.00643532917851	1023.5257575757576	41.759911944808984	130.6299242424243	65.92076069515483
20	1150.9988636363637	52.081801177188495	1020.9530303030303	41.2071824413737	130.04583333333335	66.41194093396797
21	1150.230303030303	50.93435308463824	1019.7693181818182	41.735578686811124	130.46098484848483	65.84957746617361
22	1146.9458333333334	50.606268529274814	1017.8791666666667	42.59662124781493	129.06666666666672	66.14730951585913
23	1148.5299242424242	50.49607559003235	1017.5806818181818	41.459595221115705	130.94924242424236	65.33568462863936
24	1144.6450757575758	51.22589024909613	1015.0462121212121	41.06571028741072	129.59886363636372	65.65427932147297
25	1142.941287878788	51.18693421865588	1010.5613636363636	41.082280976860424	132.3799242424244	65.63425968933231
26	1141.9390151515152	49.66752025949195	1012.6375	41.41303450706472	129.3015151515151	64.66762710824
27	1139.9261363636363	49.52768049356151	1008.9359848484848	41.5114176582753	130.9901515151514	64.62343948655227
28	1137.080303030303	49.9960414181356	1007.7356060606061	39.84713904139425	129.34469696969688	63.93276661672116
29	1132.7439393939394	49.73639186139528	1007.525	40.39217947671044	125.21893939393942	64.0721221614288
30	1126.0344696969696	49.41211920127695	1004.9715909090909	39.48029269275206	121.06287878787873	63.24753777868806
31	1120.0155303030303	49.53343056621632	1002.6878787878788	40.90345623372303	117.3276515151515	64.2390338931266
32	1111.0064393939394	47.526351902927196	999.6905303030303	40.25630085849528	111.31590909090914	62.284218579111666
33	1104.3200757575758	47.42929560738218	1001.1185606060606	39.909138708741885	103.2015151515152	61.98610678439196
34	1093.771590909091	48.50494066258745	997.5003787878788	41.153638594339256	96.2712121212121	63.61093646720365
35	1087.5632575757577	45.82638281727539	997.8950757575758	40.628163914021066	89.66818181818189	61.243000131770465
36	1080.3117424242423	46.172176276578874	994.8662878787878	40.33186104072108	85.44545454545448	61.30684200905726
37	1072.048106060606	46.45222737642594	993.1238636363636	40.43637209373038	78.92424242424238	61.58660257177524
38	1066.8511363636364	46.06578175510189	994.0761363636364	41.000340429993315	72.77500000000009	61.66915082992487
39	1059.0170454545455	45.38389378968144	992.2469696969697	39.77433967871584	66.7700757575758	60.34646561639674
