Cycle	Avg bright	Stdev bright	Avg dark	Stdev dark	Avg dark-corrected intensity	Error dark-corrected
0	1101.8284090909092	51.68785710117448	1078.3689393939394	46.68476104711933	23.45946969696979	69.64984914368489
1	1089.5613636363637	50.42551534828866	1066.4640151515152	46.66348980571701	23.097348484848453	68.70381269615793
2	1090.264393939394	50.29460726645787	1060.008712121212	46.013719955019326	30.255681818181984	68.16751384777194
3	1091.864393939394	49.64396516861837	1053.0117424242424	44.44542378523133	38.85265151515159	66.63271698731637
4	1096.1655303030302	50.54452231530549	1046.771590909091	45.55312112730263	49.39393939393926	68.0428951509349
5	1101.960606060606	50.88143490325827	1038.8083333333334	44.79927039054601	63.1522727272727	67.79303094964675
6	1105.5291666666667	50.46887637583077	1036.816287878788	44.97595274826422	68.71287878787871	67.60135951482769
7	1107.7621212121212	50.557642665220214	1031.4939393939394	44.57706938308311	76.2681818181818	67.40319240694984
8	1111.0041666666666	50.56348752328776	1025.7238636363636	43.45556637196986	85.280303030303	66.6712270715513
9	1111.7257575757576	50.15289293630652	1024.898484848485	44.14952552140195	86.82727272727266	66.81686369207662
10	1114.0503787878788	51.441045616306674	1019.7738636363637	44.7775731735736	94.27651515151513	68.19979643234781
11	1114.5984848484848	50.83603467961226	1016.7291666666666	44.38892058293011	97.86931818181813	67.48835968123997
12	1113.367803030303	50.88943698537523	1012.7189393939394	42.74389666262796	100.64886363636367	66.45882558843402
13	1115.7666666666667	51.63405715790556	1011.057196969697	43.18579646579932	104.70946969696968	67.31336327187421
14	1115.0337121212121	51.15765145984345	1006.2613636363636	43.421610224681125	108.77234848484852	67.10098015223738
15	1114.3674242424242	50.69252828246489	1003.810606060606	42.14392414164743	110.55681818181824	65.9230063462327
16	1115.5564393939394	50.33979836514342	1002.260606060606	41.75825405175451	113.29583333333335	65.40525270109556
17	1114.887878787879	50.741758593858656	999.7981060606061	41.956125128602295	115.08977272727282	65.8410396409744
18	1114.105303030303	51.85161201782994	997.2693181818182	41.452891822455705	116.83598484848483	66.38472647598829
19	1112.9026515151515	50.453120985840826	996.0420454545455	42.27349773756166	116.86060606060607	65.82223050140068
20	1112.7875	52.450199278516195	993.0984848484849	42.21805047113265	119.68901515151504	67.33043286612053
21	1112.2916666666667	50.43928775009986	992.3526515151515	41.97246879692522	119.93901515151526	65.6186702520421
22	1110.6473484848484	50.34996720470553	988.8068181818181	41.40122178914058	121.84053030303028	65.18573742122221
23	1111.5617424242423	51.15317141144629	987.4087121212121	40.378943655890886	124.15303030303016	65.16982458327179
24	1110.137878787879	49.84388435527143	985.2018939393939	41.485116857198534	124.93598484848496	64.84926929640062
25	1108.2753787878787	50.63200119796832	982.905303030303	40.81138398519414	125.3700757575757	65.03205831048274
26	1108.4662878787879	50.35918335657726	981.915909090909	41.02315186970729	126.5503787878788	64.95341667430927
27	1109.8242424242424	50.421249911202096	983.1121212121212	41.34767962838996	126.71212121212113	65.20684820829689
28	1104.9174242424242	49.83322944584102	978.5420454545455	40.33962510227225	126.37537878787873	64.11424264852319
29	1101.398484848485	50.44799600315773	976.6409090909091	40.86717018798284	124.75757575757586	64.92400095425552
30	1095.637878787879	49.05910864411424	975.0344696969697	41.46801370122325	120.60340909090917	64.23700102962344
31	1087.2212121212121	49.78900485640749	974.542803030303	40.981745581794094	112.6784090909091	64.48603318178493
32	1078.6806818181817	48.98052262384325	971.1625	40.17037242823032	107.51818181818169	63.346273904054904
33	1070.165909090909	48.44320843906319	970.717803030303	40.74801892961762	99.44810606060605	63.3020180607143
34	1063.3530303030302	46.2349687931344	969.0151515151515	40.68685567817994	94.33787878787871	61.58808784399102
35	1054.4818181818182	48.872333405023646	967.3727272727273	40.32330157784381	87.10909090909092	63.359873915511635
36	1046.6318181818183	47.61843340267	965.8189393939394	40.190255174560995	80.81287878787884	62.311891407024746
37	1038.8560606060605	47.545549544104254	964.1833333333333	40.50509351933533	74.67272727272723	62.45992220985368
38	1032.958712121212	46.708746583828145	963.260606060606	40.36756640936519	69.69810606060605	61.73530128902576
39	1025.739015151515	46.51256420939512	963.3310606060606	40.8477061270864	62.40795454545446	61.90277639313051
