Cycle	Avg bright	Stdev bright	Avg dark	Stdev dark	Avg dark-corrected intensity	Error dark-corrected
0	1190.7507575757577	53.465196830773486	1055.226893939394	48.0906305470514	135.52386363636379	71.91130661145259
1	2347.9757575757576	130.4357534418429	1052.0791666666667	47.95528399396587	1295.896590909091	138.97192176437352
2	3974.253787878788	249.21390650959503	1053.544696969697	47.15204583497225	2920.709090909091	253.63534182798048
3	5560.314772727273	364.09663605673035	1054.9670454545455	48.575168759959446	4505.347727272727	367.3226203324343
4	6871.199242424243	466.32887877681804	1056.5973484848485	47.48747435105593	5814.601893939394	468.740528865903
5	7894.325	546.1615933418118	1057.5416666666667	47.95934759214982	6836.783333333333	548.2632443116456
6	8700.17196969697	598.8060133620442	1056.1818181818182	48.284850529266514	7643.990151515152	600.749588788189
7	9401.464393939394	639.7068346815352	1054.3261363636364	47.15957837006191	8347.138257575758	641.4427957115981
8	10015.99356060606	673.4641845807984	1053.4386363636363	47.38098350752647	8962.554924242424	675.1288510434288
9	10597.291287878788	731.2555690022649	1054.0890151515152	47.59759543773526	9543.202272727272	732.8030010093303
10	11147.744318181818	774.6818663790349	1053.3916666666667	48.08805455787972	10094.352651515152	776.1729543649833
11	11614.635606060607	819.3390535311369	1051.7689393939395	48.36102022975729	10562.866666666667	820.7650534220875
12	12080.0	863.9974896498323	1054.0155303030303	48.137218493222406	11025.98446969697	865.3374220068587
13	12427.092424242424	889.5279931225708	1052.9488636363637	48.34354684377172	11374.14356060606	890.8406979197259
14	12750.057954545455	911.3824639002592	1049.8973484848484	47.530138689872956	11700.160606060606	912.6210109288443
15	12888.871590909092	924.5859858626075	1048.0636363636363	47.14159565948435	11840.807954545455	925.7870032004403
16	12980.67803030303	929.9354926971754	1047.135984848485	47.016309957932435	11933.542045454546	931.1232753937572
17	13027.289393939394	931.9981009586563	1044.698106060606	46.539566054425194	11982.591287878788	933.1593601304527
18	13007.354924242425	932.6509436766272	1042.585984848485	46.90831838681236	11964.76893939394	933.829841606479
19	13067.525	942.722718309803	1040.9401515151515	47.288991222970004	12026.584848484848	943.9080317002872
20	13158.204924242424	951.0384711126874	1039.2856060606061	46.750428020364005	12118.919318181817	952.1868388380744
21	13323.064393939394	966.6942778945299	1038.7768939393939	46.52863891021567	12284.2875	967.8133813669161
22	13455.512121212121	970.9706416644576	1036.081818181818	47.01434471324073	12419.430303030304	972.1081912951377
23	13615.24696969697	989.6582335882418	1035.510606060606	46.97146822173454	12579.736363636363	990.7722937869753
24	13777.735984848485	1007.5009852204822	1035.4731060606061	46.55186131474807	12742.262878787878	1008.575882624659
25	13894.62803030303	1014.4164019960168	1033.3503787878788	46.642608380355256	12861.277651515153	1015.4881434832548
26	14035.925	1023.1674381528235	1032.7515151515152	46.44922689908302	13003.173484848485	1024.2212344878105
27	14704.791666666666	1083.5912106972132	1034.5416666666667	47.04026086956542	13670.25	1084.611772959767
28	14434.917045454546	1057.2023502652753	1031.2583333333334	46.13667039132733	13403.658712121212	1058.2085814059626
29	14377.115151515152	1050.4813022065566	1030.028409090909	46.29246972812764	13347.086742424242	1051.5008126668818
30	14403.003409090908	1046.7113041116183	1028.148484848485	45.866182968812204	13374.854924242423	1047.7157347750262
31	14506.02537878788	1054.1634711832548	1027.9727272727273	47.31900139016021	13478.052651515152	1055.2249579448408
32	14005.435606060606	1024.7172095216242	1023.6594696969697	45.3103141615212	12981.776136363636	1025.7184721253684
33	13576.729924242425	1001.9908331469906	1020.9291666666667	45.972635776238086	12555.800757575758	1003.0449207043595
34	13042.93106060606	962.9988863419546	1016.1666666666666	44.922950311021026	12026.764393939395	964.0461226313248
35	12500.269318181818	928.7056595546992	1012.7727272727273	44.48166815276708	11487.49659090909	929.770305446771
36	11898.580681818183	876.4656644242755	1008.2609848484849	44.576683933926994	10890.319696969698	877.5985082400904
37	11294.318181818182	830.0259175232605	1003.5049242424243	43.77971690309878	10290.813257575757	831.1796961983888
38	10682.843939393939	771.6433996679735	1000.3727272727273	44.27996005258985	9682.471212121212	772.9128353918098
39	10043.25643939394	726.0263199040257	995.0386363636363	43.34105434896444	9048.217803030302	727.318818803324
